"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","3","Unit Test Application Code","math.js","","","","can add numbers",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","15","Unit Test Application Code","fizzbuzz.js","","","","returns ""fizz"" when number is multiple of 3",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","13","Unit Test Application Code","math.js","","","","can subtract numbers",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","14","Unit Test Application Code","math.js","","","","can muliple numbers",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","14","Unit Test Application Code","fizzbuzz.js","","","","returns ""fizzbuzz"" when number is multiple of both 3 and 5",""
"passed","Fri Mar 24 19:16:38 CST 2023","Fri Mar 24 19:16:38 CST 2023","287","","Testing API Endpoints Using Cypress","","","","Test DELETE Request",""
"passed","Fri Mar 24 19:17:04 CST 2023","Fri Mar 24 19:17:09 CST 2023","4803","","Wait examples","","","","explicit wait",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","17","Unit Test Application Code","fizzbuzz.js","","","","returns ""buzz"" when number is multiple of 5",""
"passed","Fri Mar 24 19:16:56 CST 2023","Fri Mar 24 19:16:58 CST 2023","2640","","Login test","","","","Login successful",""
"passed","Fri Mar 24 19:17:09 CST 2023","Fri Mar 24 19:17:10 CST 2023","823","","Wait examples","","","","Wait for http request",""
"passed","Fri Mar 24 19:16:58 CST 2023","Fri Mar 24 19:16:59 CST 2023","961","","Login test","","","","Login failed",""
"passed","Fri Mar 24 19:16:42 CST 2023","Fri Mar 24 19:16:46 CST 2023","3951","","Login","","","","passes",""
"passed","Fri Mar 24 19:17:12 CST 2023","Fri Mar 24 19:17:12 CST 2023","14","Unit Test Application Code","math.js","","","","can divide numbers",""
"passed","Fri Mar 24 19:16:52 CST 2023","Fri Mar 24 19:16:53 CST 2023","802","","empty spec","","","","Intercept - Fixture",""
"passed","Fri Mar 24 19:16:48 CST 2023","Fri Mar 24 19:16:49 CST 2023","371","","empty spec","","","","Download PDF",""
"passed","Fri Mar 24 19:16:59 CST 2023","Fri Mar 24 19:17:00 CST 2023","761","","Login test","","","","User blocked",""
"passed","Fri Mar 24 19:16:37 CST 2023","Fri Mar 24 19:16:37 CST 2023","308","","Testing API Endpoints Using Cypress","","","","Test POST Request 2",""
"passed","Fri Mar 24 19:16:36 CST 2023","Fri Mar 24 19:16:37 CST 2023","306","","Testing API Endpoints Using Cypress","","","","Test POST Request 1",""
"passed","Fri Mar 24 19:16:36 CST 2023","Fri Mar 24 19:16:36 CST 2023","257","","Testing API Endpoints Using Cypress","","","","Test GET Request",""
"passed","Fri Mar 24 19:16:53 CST 2023","Fri Mar 24 19:16:53 CST 2023","132","","empty spec","","","","Intercept - Status code",""
"passed","Fri Mar 24 19:16:37 CST 2023","Fri Mar 24 19:16:37 CST 2023","298","","Testing API Endpoints Using Cypress","","","","Test PUT Request",""
